"0","clean_item_level <- raw_all |>"
"0","  mutate("
"0","    lecture_type = factor(lecture_type, levels = c(""Control"", ""PlotWise"")),"
"0","    practice_type = factor(practice_type, levels = c(""Control"", ""PlotWise"")),"
"0","    group = factor(group, levels = GROUP_LEVELS)"
"0","  ) |>"
"0","  arrange(group, participantId, trialId, responseId)"
"0",""
"0","cat(""Clean item-level dataset created:\n"")"
"1","Clean item-level dataset created:
"
"0","cat(""- Rows:"", nrow(clean_item_level), ""\n"")"
"1","- Rows:"
"1"," "
"1","14880"
"1"," "
"1","
"
"0","cat(""- Columns:"", ncol(clean_item_level), ""\n"")"
"1","- Columns:"
"1"," "
"1","54"
"1"," "
"1","
"
